resource_id,title,description,org_type,fields,orgs,source,sectors,date_created,date_updated
c3b1dffb-b6ba-4a28-a005-85e17483ad20,"Number of Water Conservation and Water Harvesting Structures constructed under MGNREGA from 2012-13 to 2015-16 (From: Ministry of Water Resources, River Development and Ganga Rejuvenation)","Number of Water Conservation and Water Harvesting Structures constructed under MGNREGA from 2012-13 to 2015-16 (From: Ministry of Water Resources, River Development and Ganga Rejuvenation)",Central,"['document_id', '_s_no_', 'states', '_2012_13___water_conservation_and_water_harvesting', '_2013_14___water_conservation_and_water_harvesting', '_2014_15___water_conservation_and_water_harvesting', '_2015_16_as_on_07_03_2016___water_conservation_and_water_harvesting', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-11-29T06:17:14+00:00,2023-12-05T10:12:49+00:00
4632d771-5a5f-4536-a478-9de4e10d9ce9,Delayed payment to workers under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) from 2013 to 2015 (From :Ministry of Rural Development),Delayed payment to workers under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) from 2013 to 2015 (From :Ministry of Rural Development),Central,"['document_id', 'no', 'state', '_2013_14___total_payment___total_transactions', '_2013_14___total_payment___amount_involved__in_lakh_', '_2013_14___total_delayed_payment___total_transactions', '_2013_14___total_delayed_payment___amount_involved__in_lakh_', '_2014_15___total_payment___total_transactions', '_2014_15___total_payment___amount_involved__in_lakh_', '_2014_15___total_delayed_payment___total_transactions', '_2014_15___total_delayed_payment___amount_involved__in_lakh_', '_2015_16_till_03_12_2015___total_payment___total_transactions', '_2015_16_till_03_12_2015___total_payment___amount_involved__in_lakh_', '_2015_16_till_03_12_2015___total_delayed_payment___total_transactions', '_2015_16_till_03_12_2015___total_delayed_payment___amount_involved__in_lakh_', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-10-21T21:15:31+00:00,2023-10-23T16:18:55+00:00
34a83496-2050-4f4d-9bff-926d8e830a57,Details of households and beneficiaries provided employment under the Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) from 2012-13 to 2015-16 (From :Ministry of Rural Development),Details of households and beneficiaries provided employment under the Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) from 2012-13 to 2015-16 (From :Ministry of Rural Development),Central,"['document_id', '_no_', 'states', 'household_provided_employment___2012_13', 'household_provided_employment___2013_14', 'household_provided_employment___2014_15', 'household_provided_employment___2015_16_upto_30_09_2015', 'no__of_beneficiary_provide_employment___2012_13', 'no__of_beneficiary_provide_employment___2013_14', 'no__of_beneficiary_provide_employment___2014_15', 'no__of_beneficiary_provide_employment___2015_16_upto_30_09_2015', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-10-21T20:20:38+00:00,2023-10-23T16:17:25+00:00
b30c524a-0792-4dcd-9af4-374fd1d3fea2,Number of complaints received on implementation of Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) as on 21.07.2015 (From :Ministry of Rural Development),Number of complaints received on implementation of Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) as on 21.07.2015 (From :Ministry of Rural Development),Central,"['document_id', '_no_', 'state', 'misappropria_tion_of_funds', 'under_payment', 'wages_not_paid', 'corruption_under_nrega', 'irregular_ities__not_specific_', '_total', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-10-21T20:16:24+00:00,2023-10-23T16:17:18+00:00
5183200b-84ff-44ed-9c92-fa1c2e07f32f,Works undertaken under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) in 2015-16 (till 16/12/2015) (From :Ministry of Rural Development),Works undertaken under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) in 2015-16 (till 16/12/2015) (From :Ministry of Rural Development),Central,"['document_id', 'si_no_', 'state', 'rural_connectivity___number_of_works_taken_up', 'rural_connectivity___expenditure_on_ongoing_and_completed_works___in_lakh_', 'water_conservation_and_water_harvesting___number_of_works_taken_up', 'water_conservation_and_water_harvesting___expenditure_on_ongoing_and_completed_works___in_lakh_', 'renovation_of_traditional_water_bodies___number_of_works_taken_up', 'renovation_of_traditional_water_bodies___expenditure_on_ongoing_and_completed_works___in_lakh_', 'drought_proofing___number_of_works_taken_up', 'drought_proofing___expenditure_on_ongoing_and_completed_works___in_lakh_', 'micro_irrigation_works___number_of_works_taken_up', 'micro_irrigation_works___expenditure_on_ongoing_and_completed_works___in_lakh_', 'flood_control_and_protection___number_of_works_taken_up', 'flood_control_and_protection___expenditure_on_ongoing_and_completed_works___in_lakh_', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-10-21T20:03:05+00:00,2023-10-23T16:16:56+00:00
341c9375-46de-4ec8-b284-9f5df998b521,Average person days Employment provided per Household in MGNREGA during 2012-2015 (From :Ministry of Rural Development),Average person days Employment provided per Household in MGNREGA during 2012-2015 (From :Ministry of Rural Development),Central,"['document_id', '_s_no_', 'state__uts', '__2012_13', '__2013_14', '__2014_15', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-10-21T19:44:18+00:00,2023-10-23T16:16:23+00:00
eeb479a7-e6d6-4a03-bf01-1df8f3ba8444,States/UTs-wise details of employment provided to persons under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2014-15 to 2018-19 (From: Ministry of Rural Development),States/UTs-wise details of employment provided to persons under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2014-15 to 2018-19 (From: Ministry of Rural Development),Central,"['document_id', '_si__no_', 'states', 'number_of_persons_provided_employment___2014_15', 'number_of_persons_provided_employment___2015_16', 'number_of_persons_provided_employment_2016_17', 'number_of_persons_provided_employment_2017_18', 'number_of_persons_provided_employment__2018_19', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-10-21T17:02:02+00:00,2023-10-23T16:09:18+00:00
c5c8858c-8451-4c83-9071-0d81e9ef1e94,Number of households provided employment under MGNREGA (in reply to unstarred question on 21-11-2016)(From:Ministry of Rural Development),Number of households provided employment under MGNREGA (in reply to unstarred question on 21-11-2016)(From:Ministry of Rural Development),Central,"['document_id', 'si_no_', 'states', 'number_of_households_provided_employment___2014_15', 'number_of_households_provided_employment___2015_16', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-10-20T18:40:25+00:00,2023-10-23T15:57:47+00:00
81043a7e-e9f4-4b00-ad6e-845c03ceca94,Reason-wise Rejections in Wage Transactions under the Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2018-19 (From : Ministry of Rural Development),Reason-wise Rejections in Wage Transactions under the Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA) during 2018-19 (From : Ministry of Rural Development),Central,"['document_id', 'reason_for_rejected_transactions_during_fy_2018_19__as_on_25_07_2018_', 'total_no__of_rejected_transactions', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-10-20T12:18:42+00:00,2023-10-23T15:07:26+00:00
fc212c38-13ca-4b79-b676-bc763a7b67ee,State/UT-wise Creating Employment Opportunities under MGNREGA during 2017-18 and 2018-19 (From : Ministry of Labour and Employment),State/UT-wise Creating Employment Opportunities under MGNREGA during 2017-18 and 2018-19 (From : Ministry of Labour and Employment),Central,"['document_id', 'state_ut', 'no__of_persondays_generated__in_crore____2017_18', 'no__of_persondays_generated__in_crore____2018_19__as_on_20_07_2018__', '_', '_', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-10-20T10:58:46+00:00,2023-10-23T15:05:49+00:00
ede4109e-073e-4896-9ee0-19476c1f72d9,State-wise Number of Angadwadi Centre (AWC) Buildings approved and Funds Released for Construction of AWC Buildings under MGNREGA during 2015-16 and 2016-17 (From : Ministry of Women and Child Development),State-wise Number of Angadwadi Centre (AWC) Buildings approved and Funds Released for Construction of AWC Buildings under MGNREGA during 2015-16 and 2016-17 (From : Ministry of Women and Child Development),Central,"['document_id', 'state', 'construction_of_awc_buildings_under_mgnrega__unit_approved____2015_16', 'funds_released___2015_16', 'construction_of_awc_buildings_under_mgnrega__unit_approved____2016_17', 'funds_released___2016_17', 'resource_uuid']",['Rajya Sabha'],data.gov.in,['All'],2023-10-20T10:49:50+00:00,2023-10-23T15:05:38+00:00
